name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Abhisek Banerjee,http://www.espncricinfo.com/ci/content/player/390728.html,"May 18, 1984, Durgapur ","Bengal,",23.75,122,14,2,1,68,0,4,4,0,95,0,77.86,0
Reagan Pinto,http://www.espncricinfo.com/ci/content/player/390619.html,"September 21, 1991, Bombay (now Mumbai), Maharashtra ",Goa,32.55,2772,159,11,7,154,3,47,31,4,1400,10,50.50,0
 Anupam Patel,http://www.espncricinfo.com/ci/content/player/376108.html,"May 1, 1985, Jamshedpur, Bihar ",Gujarat,-,0,0,0,0,0*,0,1,2,1,0,0,-,0
Utkarsh Patel,http://www.espncricinfo.com/ci/content/player/377277.html,"October 11, 1987, Paradi, Gujarat ",Baroda,20.75,321,21,3,1,53,0,10,7,2,166,2,51.71,0
Penta Rao,http://www.espncricinfo.com/ci/content/player/390840.html,"May 10, 1985, Vishakapatnam ",Services,34.50,314,14,0,1,89,0,5,3,1,138,0,43.94,0
Pratharesh Parmar,http://www.espncricinfo.com/ci/content/player/341158.html,"May 25, 1988, Gandhinagar, Gujarat ",Gujarat,38.33,1546,53,12,5,67,0,19,12,4,575,4,37.19,0
Mehul Patel,http://www.espncricinfo.com/ci/content/player/423818.html,"January 18, 1989, Gaviyar, Gujarat ",Gujarat Cricket Association XI,16.11,703,33,5,1,62,0,23,18,6,274,8,38.97,0
Adithya B Sagar,http://www.espncricinfo.com/ci/content/player/340530.html,"October 21, 1988, Hubli, Karnataka ",Karnataka,24.50,140,7,1,0,29,0,3,2,1,49,0,35.00,0
Jagannathan Kaushik,http://www.espncricinfo.com/ci/content/player/423814.html,"October 25, 1985, Chennai ","Ruby Trichy Warriors,",7.00,312,6,2,0,20,0,16,16,4,84,2,26.92,0
Mohammed Khader,http://www.espncricinfo.com/ci/content/player/320348.html,"November 6, 1987, Hyderabad ",Hyderabad (India),19.30,691,36,6,0,35*,0,19,16,6,251,1,36.32,0
Dharshan Kanjania,http://www.espncricinfo.com/ci/content/player/390002.html,"October 15, 1989, Delhi ",Delhi,-,4,0,0,0,1*,0,1,1,1,1,0,25.00,0
Alpesh Kantilal Kamalia,http://www.espncricinfo.com/ci/content/player/279547.html,"June 24, 1986, Ghoghla ",Saurashtra,19.00,26,1,1,0,17,0,2,2,1,19,0,73.07,0
Mohammad Karim,http://www.espncricinfo.com/ci/content/player/324443.html,"September 15, 1987, Delhi, India ",Vidarbha,36.00,60,3,1,0,33,0,2,3,1,36,0,60.00,0
Madhu Kamat,http://www.espncricinfo.com/ci/content/player/390620.html,"March 22, 1990, Santa Cruz, Goa ",Goa,-,-,-,0,-,-,-,-,1,-,-,-,-,0
G Gurkude,http://www.espncricinfo.com/ci/content/player/290715.html,date unknown ,Maharashtra,27.00,27,1,2,0,23*,0,2,2,1,27,0,100.00,0
Prashant Gupta,http://www.espncricinfo.com/ci/content/player/377536.html,"June 23, 1988, Kanpur, Uttar Pradesh ",Uttar Pradesh,25.85,1932,120,25,3,144,1,34,21,0,879,6,45.49,0
Gaurav Gambhir,http://www.espncricinfo.com/ci/content/player/389613.html,"November 26, 1987, Chandigarh, Punjab ",Punjab,39.33,306,12,0,1,50*,0,4,2,1,118,0,38.56,0
Saurabh Suresh Gawde,http://www.espncricinfo.com/ci/content/player/279680.html,"September 22, 1987, Mumbai ",Goa,12.50,42,1,0,0,22,0,2,3,0,25,0,59.52,0
Shyam Gan,http://www.espncricinfo.com/ci/content/player/1126921.html,"October 11, 1998 ",Tripura,23.25,94,8,2,0,35,0,5,5,1,93,1,98.93,0
Mudassar Gani,http://www.espncricinfo.com/ci/content/player/391714.html,date unknown ,Jammu & Kashmir,-,4,0,1,0,2*,0,1,1,1,2,0,50.00,0
