name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Baba Indrajith,http://www.espncricinfo.com/ci/content/player/477069.html,"July 8, 1994, Madras (now Chennai), Tamil Nadu ","India A,",50.81,6564,363,64,17,200,9,74,50,9,3303,18,50.31,1
Samarth Vyas,http://www.espncricinfo.com/ci/content/player/853859.html,"November 28, 1995, Rajkot, Saurashtra ","Saurashtra,",18.69,435,25,3,2,54*,0,14,8,1,243,8,55.86,0
Bodapati Sumanth,http://www.espncricinfo.com/ci/content/player/253798.html,"May 10, 1988, Visakhapatnam, Andhra Pradesh ","Deccan Chargers,",35.55,7452,387,36,17,150*,6,99,63,10,3164,16,42.45,0
Syed Sagar,http://www.espncricinfo.com/ci/content/player/625394.html,"August 12, 1990, Srinagar ",Jammu and Kashmir,16.40,54,7,0,1,74,0,5,5,0,82,5,151.85,0
Syed Moinuddin,http://www.espncricinfo.com/ci/content/player/733261.html,"December 2, 1991, Cuttack, Orissa ",Odisha,2.00,6,0,0,0,2,0,1,2,0,2,0,33.33,0
Syed Mujibur Rahaman,http://www.espncricinfo.com/ci/content/player/1159950.html,"January 1, 1974, Thoubal, Manipur ",Manipur,14.00,145,8,0,0,22,0,3,2,0,42,0,28.96,0
Jamaluddin Syed Mohammad,http://www.espncricinfo.com/ci/content/player/35261.html,"June 3, 1983, Madras (now Chennai), Tamil Nadu ","Assam,",27.66,3629,193,30,9,121,2,64,41,7,1577,9,43.45,0
Dasari Swaroop Kumar,http://www.espncricinfo.com/ci/content/player/377012.html,"May 7, 1986, Vijayawada, Andhra Pradesh ","Andhra,",18.50,184,8,3,0,30*,0,11,14,3,148,3,80.43,0
Swarajeet Das,http://www.espncricinfo.com/ci/content/player/1168059.html,"March 23, 1995, Shillong, Meghalaya ",Meghalaya,4.50,90,3,1,0,9,0,4,2,0,18,0,20.00,0
Swapnil Singh,http://www.espncricinfo.com/ci/content/player/232292.html,"January 22, 1991, Rae Bareilly, Uttar Pradesh ","Baroda,",27.29,4061,224,36,10,164,2,80,53,9,1938,34,47.72,0
Swapnil More,http://www.espncricinfo.com/ci/content/player/1079967.html,"June 14, 1990, Dhula, Maharashtra ",Services,7.00,14,0,0,0,7,0,1,1,0,7,0,50.00,0
Narain Swamy,http://www.espncricinfo.com/ci/content/player/34189.html,"May 23, 1924, Calicut (now Kozhikhode), Kerala ","India,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Soumya Swain,http://www.espncricinfo.com/ci/content/player/484051.html,"April 3, 1987, Khurda ",Services,33.63,2764,151,14,8,130,2,40,25,4,1211,2,43.81,0
Pawan Suyal,http://www.espncricinfo.com/ci/content/player/431213.html,"October 15, 1989, Paudi, Uttaranchal ","Delhi,",3.84,211,10,6,0,11,0,31,27,12,73,1,34.59,0
Tapan Sutradhar,http://www.espncricinfo.com/ci/content/player/290703.html,date unknown ,"Tripura,",12.50,34,10,1,0,28,0,4,4,0,50,0,147.05,0
Suryaprakash Suwalka,http://www.espncricinfo.com/ci/content/player/705091.html,"December 6, 1992, Bhilwara, Rajasthan ",Rajasthan,23.00,184,26,3,1,74,0,6,3,0,138,0,75.00,0
Ashish Suryawanshi,http://www.espncricinfo.com/ci/content/player/290723.html,"September 17, 1990, Latur, Maharashtra ",Maharashtra,46.00,91,4,0,0,46,0,1,1,0,46,1,50.54,0
Laxmesha Suryaprakash,http://www.espncricinfo.com/ci/content/player/419672.html,"September 27, 1989, Madras (now Chennai), Tamil Nadu ","Lyca Kovai Kings,",10.80,130,9,2,0,15,0,5,3,0,54,0,41.53,0
Atul Singh Surwar,http://www.espncricinfo.com/ci/content/player/1133126.html,date unknown ,Jharkhand Under-19s,29.66,104,7,3,1,58*,0,4,4,1,89,0,85.57,0
Sajin Sureshnath,http://www.espncricinfo.com/ci/content/player/410879.html,"September 6, 1987 ",Maharashtra Cricket Association XI,15.75,172,9,2,0,25,0,8,5,4,63,1,36.62,0
Chinnaswamy Suresh,http://www.espncricinfo.com/ci/content/player/269165.html,"May 10, 1983, Chengalpet ",Tamil Nadu,9.00,408,14,11,0,32*,0,16,17,5,99,1,24.26,0
Nikhilesh Surendran,http://www.espncricinfo.com/ci/content/player/604711.html,"October 24, 1992, Secunderabad, Andhra Pradesh ",Kerala,25.42,1383,100,40,4,123,1,29,19,1,712,7,51.48,5
Sunny Kashyap,http://www.espncricinfo.com/ci/content/player/1163669.html,"December 12, 1998 ",Uttarakhand,4.00,7,0,0,0,3,0,2,5,1,4,0,57.14,0
Sunny Rana,http://www.espncricinfo.com/ci/content/player/1159776.html,"December 25, 1987, Dehradun ",Uttarakhand,7.80,84,4,3,0,17*,0,7,9,2,39,2,46.42,0
Sunny Kumar Singh,http://www.espncricinfo.com/ci/content/player/536556.html,"June 6, 1989, Koderma ","Dindigul Dragons,",1.50,8,0,1,0,3,0,2,4,0,3,0,37.50,0
Sunil Singh,http://www.espncricinfo.com/ci/content/player/431011.html,"July 31, 1984, Fatehpur, Uttar Pradesh ",Services,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Monica Sumra,http://www.espncricinfo.com/ci/content/player/54161.html,"October 14, 1980, Vidharba ","Andhra Women,",10.16,378,6,0,0,29,0,6,3,0,61,0,16.13,0
Sumit Singh,http://www.espncricinfo.com/ci/content/player/430486.html,"September 10, 1987, Delhi ",Services,13.66,400,26,1,0,35,0,12,7,0,164,0,41.00,0
Sumit Sharma,http://www.espncricinfo.com/ci/content/player/34150.html,"December 24, 1978, Gurgaon, Haryana ",Haryana,39.62,389,25,2,3,86,0,9,9,1,317,1,81.49,0
Sumit Kumar,http://www.espncricinfo.com/ci/content/player/1159734.html,date unknown ,Haryana,35.20,122,20,3,1,63,0,6,7,1,176,6,144.26,0
Sumit Kumar,http://www.espncricinfo.com/ci/content/player/820393.html,"December 30, 1995, Bokaro, Bihar ",Jharkhand Under-19s,20.90,842,70,44,1,108,1,25,16,3,460,7,54.63,2
Kolla Sumanth,http://www.espncricinfo.com/ci/content/player/578173.html,"April 24, 1992, Ramagundam, Andhra Pradesh ",Hyderabad Cricket Association XI,24.51,2408,107,84,6,78,0,46,29,5,1005,7,41.73,5
Sultan Karim,http://www.espncricinfo.com/ci/content/player/1159949.html,"November 17, 1994, Imphal, Manipur ",Manipur,12.50,47,4,1,0,20*,0,4,2,2,25,1,53.19,0
Gouher Sultana,http://www.espncricinfo.com/ci/content/player/263980.html,"March 31, 1988, Hyderabad, Andhra Pradesh ","India Under-21s Women,",10.66,311,6,15,0,22,0,23,50,14,96,0,30.86,0
Suhail Sharma,http://www.espncricinfo.com/ci/content/player/34143.html,"October 10, 1981, Delhi ",Delhi,4.66,15,3,1,0,14,0,3,2,0,14,0,93.33,0
Suhail Andleev,http://www.espncricinfo.com/ci/content/player/950411.html,"November 8, 1982, Srinagar, Jammu & Kashmir ",Jammu & Kashmir,12.00,8,1,0,0,10*,0,2,1,1,12,1,150.00,0
Sufiyan Alam,http://www.espncricinfo.com/ci/content/player/924463.html,"April 2, 1995, New Delhi ","Delhi Under-16s,",17.60,178,12,2,1,63,0,5,4,0,88,0,49.43,0
TP Sudhindra,http://www.espncricinfo.com/ci/content/player/34139.html,"April 24, 1984, Hindupur, Andhra Pradesh ","Deccan Chargers,",16.04,888,56,8,1,51,0,30,27,7,369,0,41.55,0
Bodavarapu Sudhakar,http://www.espncricinfo.com/ci/content/player/525928.html,"July 25, 1991, Guntur, Andhra Pradesh ","Andhra,",14.42,405,11,0,0,27*,0,9,6,2,101,1,24.93,0
Jagadeesha Suchith,http://www.espncricinfo.com/ci/content/player/527663.html,"January 16, 1994, Mysore ","Chennai Super Kings,",18.25,594,20,4,0,41,0,20,13,8,219,4,36.86,0
Doraiswamy Subramanian,http://www.espncricinfo.com/ci/content/player/604588.html,"February 18, 1984, Mumbai ","Dr DY Patil Sports Academy,",11.00,110,5,0,0,15,0,4,2,0,44,0,40.00,0
Subhojit Paul,http://www.espncricinfo.com/ci/content/player/35275.html,"December 30, 1984, Calcutta (now Kolkata), Bengal ","Bengal,",1.50,22,0,1,0,3,0,2,1,0,3,0,13.63,0
Subramania Siva,http://www.espncricinfo.com/ci/content/player/426172.html,"March 3, 1984, Surandai, Tamil Nadu ","Badureliya Sports Club,",27.33,480,31,5,2,64,0,12,8,0,328,9,68.33,0
Subhrajit Roy,http://www.espncricinfo.com/ci/content/player/34400.html,"July 16, 1987, Udaipur, Tripura ",Tripura Under-14s,20.19,3299,166,8,6,111,1,57,31,1,1131,0,34.28,0
Subhash Sharma,http://www.espncricinfo.com/ci/content/player/1163664.html,"October 1, 1993, Malsisar Jhunjhunu ,Rajasthan ",Arunachal Pradesh,14.50,47,3,1,0,24*,0,6,3,4,29,1,61.70,0
Cheepurapalli Stephen,http://www.espncricinfo.com/ci/content/player/679589.html,"December 3, 1993, Eastgodavari, Andhra Pradesh ","Andhra Under-16s,",4.50,259,5,8,0,8*,0,23,22,11,54,2,20.84,0
Tanmay Srivastava,http://www.espncricinfo.com/ci/content/player/35401.html,"November 7, 1989, Kanpur, Uttar Pradesh ","Deccan Chargers,",36.42,10620,594,59,25,179,10,133,81,7,4590,7,43.22,0
Sridharan Sriram,http://www.espncricinfo.com/ci/content/player/34118.html,"February 21, 1976, Madras (now Chennai), Tamil Nadu ","India,",13.50,135,9,1,1,57,0,7,8,1,81,0,60.00,0
Tirumalai Srinivasan,http://www.espncricinfo.com/ci/content/player/34109.html,"October 26, 1950, Madras (now Chennai) ","India,",24.00,186,6,0,0,29,0,2,1,0,48,0,25.80,0
Rajhamany Srinivasan,http://www.espncricinfo.com/ci/content/player/312714.html,"September 17, 1985, Chennai ",Tamil Nadu,43.22,861,59,8,4,73,0,12,8,3,389,0,45.18,0
Sirla Srinivas,http://www.espncricinfo.com/ci/content/player/526386.html,"August 25, 1992, Srikakulam, Andhra Pradesh ","Andhra Under-19s,",14.50,65,5,0,0,21,0,4,4,0,58,2,89.23,0
Javagal Srinath,http://www.espncricinfo.com/ci/content/player/34105.html,"August 31, 1969, Mysore, Karnataka ","India,",14.21,2037,110,22,4,76,0,92,67,21,1009,8,49.53,0
V Sreejit,http://www.espncricinfo.com/ci/content/player/34096.html,"August 19, 1982, Thrippunithura, Kerala ",Kerala,13.00,36,2,0,0,21,0,2,2,0,26,0,72.22,0
Koripalli Sreekanth,http://www.espncricinfo.com/ci/content/player/625576.html,"November 23, 1992, Hyderabad, Andhra Pradesh ",Andhra,13.16,205,9,2,0,33,0,6,4,0,79,2,38.53,0
Sreesanth,http://www.espncricinfo.com/ci/content/player/34274.html,"February 6, 1983, Kothamangalam, Kerala ","India,",10.40,539,38,5,0,35,0,40,27,13,281,4,52.13,0
Kanakkatharaparambu Sreejith,http://www.espncricinfo.com/ci/content/player/425803.html,"October 27, 1986, Cochin, Kerala ","Kerala,",1.25,51,1,1,0,4*,0,12,10,8,5,0,9.80,0
Barinder Sran,http://www.espncricinfo.com/ci/content/player/537126.html,"December 10, 1992, Sirsa ","India,",-,-,-,1,-,-,-,-,6,-,-,-,-,0
Prasanta Sonowal,http://www.espncricinfo.com/ci/content/player/528064.html,"June 5, 1989, Dibrugarh, Assam ",Assam Cricket Association XI,22.00,146,12,1,0,40*,0,5,3,2,66,0,45.20,0
Sonu Singh,http://www.espncricinfo.com/ci/content/player/943033.html,"December 29, 1995,  East Singhbhum, Bihar ","Bihar,",2.50,71,0,3,0,3,0,6,4,4,5,0,7.04,0
B Songavkar,http://www.espncricinfo.com/ci/content/player/231053.html,date unknown ,Saurashtra,35.25,394,12,0,2,80*,0,5,4,1,141,0,35.78,0
Song Tacho,http://www.espncricinfo.com/ci/content/player/1159762.html,"February 20, 1993 ",Arunachal Pradesh,9.85,283,8,0,0,31,0,8,4,1,69,0,24.38,0
Som Tshering,http://www.espncricinfo.com/ci/content/player/1159799.html,"February 15, 1977, Gangtok, Sikkim ",Sikkim,0.00,17,0,1,0,0,0,2,4,0,0,0,0.00,0
Somorjit Salam,http://www.espncricinfo.com/ci/content/player/1159941.html,"January 27, 1994, Bishnupur, Manipur ",Manipur,0.00,7,0,1,0,0,0,1,1,0,0,0,0.00,0
Somnath Soni,http://www.espncricinfo.com/ci/content/player/1176514.html,"June 20, 1998, Kurung Kumey, Arunachal Pradesh ",Arunachal Pradesh,0.00,3,0,0,0,0,0,1,1,0,0,0,0.00,0
Sujith Somasunder,http://www.espncricinfo.com/ci/content/player/34086.html,"December 2, 1972, Bangalore, Karnataka ","India,",8.00,63,1,0,0,9,0,2,2,0,16,0,25.39,0
Vishnu Solanki,http://www.espncricinfo.com/ci/content/player/604593.html,"October 15, 1992, Vadodara ",Baroda,44.65,2214,140,7,5,175,5,27,16,1,1161,15,52.43,0
Viswajit Solanki,http://www.espncricinfo.com/ci/content/player/261366.html,"August 29, 1990, Dhrangadhara, Gujarat ","Gujarat,",0.00,3,0,0,0,0,0,1,1,0,0,0,0.00,0
Shailesh Solanki,http://www.espncricinfo.com/ci/content/player/262662.html,"November 25, 1989, Baroda ",Baroda,33.66,115,17,3,1,59,0,3,3,0,101,0,87.82,0
Bharatkumar Solanki,http://www.espncricinfo.com/ci/content/player/34083.html,"May 4, 1982, Bombay (now Mumbai), Maharashtra ",Maharashtra,13.33,278,5,3,0,14,0,7,5,4,40,0,14.38,0
B Solanki,http://www.espncricinfo.com/ci/content/player/35273.html,date unknown ,Rajasthan,0.00,3,0,0,0,0,0,1,1,0,0,0,0.00,0
Pruthvipal Solanki,http://www.espncricinfo.com/ci/content/player/490863.html,"February 14, 1990, Vadodara ",Saurashtra,15.66,138,5,1,0,17*,0,5,3,2,47,2,34.05,0
Arvind Solanki,http://www.espncricinfo.com/ci/content/player/34335.html,"September 10, 1978, Aligarh, Uttar Pradesh ",Uttar Pradesh,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Hitesh Solanki,http://www.espncricinfo.com/ci/content/player/923967.html,"November 3, 1991, Baroda (now Vadodara), Gujarat ","Baroda,",8.20,157,6,4,0,19,0,5,3,0,41,0,26.11,0
Sohail Sharma,http://www.espncricinfo.com/ci/content/player/236776.html,date unknown ,Delhi,10.00,17,1,0,0,8*,0,2,4,1,10,0,58.82,0
Reetinder Sodhi,http://www.espncricinfo.com/ci/content/player/34078.html,"October 18, 1980, Patiala, Punjab ","India,",25.45,381,16,9,2,67,0,14,18,3,280,6,73.49,0
Sneha Kishore,http://www.espncricinfo.com/ci/content/player/526387.html,"December 31, 1993, Dawaleswaram, Andhra Pradesh ","Andhra Under-19s,",1.00,26,0,0,0,1,0,4,2,2,2,0,7.69,0
Sneha Deepthi,http://www.espncricinfo.com/ci/content/player/627072.html,"September 10, 1996, Visakhapatnam, Andhra Pradesh ","Andhra Women,",4.00,9,1,0,0,4,0,1,1,0,4,0,44.44,0
MK Sivakumar,http://www.espncricinfo.com/ci/content/player/35297.html,"September 5, 1981, Chennai ","Lyca Kovai Kings,",102.00,179,10,4,1,56*,0,5,12,4,102,0,56.98,0
Duvvarapu Siva Kumar,http://www.espncricinfo.com/ci/content/player/328679.html,"February 11, 1990, Sidhanthah, Andhra Pradesh ","Andhra,",22.10,2164,121,7,4,106*,1,58,42,10,1061,18,49.02,0
Siva Charan Singh,http://www.espncricinfo.com/ci/content/player/1084999.html,"November 29, 1993, Atmakur ","Andhra,",19.00,305,10,7,0,45,0,5,3,0,95,0,31.14,0
Luvnith Sisodia,http://www.espncricinfo.com/ci/content/player/1155253.html,"January 15, 2000, Bangalore, Karnataka ",Mysuru Warriors,1.00,3,0,0,0,1,0,1,1,0,1,0,33.33,0
Prateek Sinha,http://www.espncricinfo.com/ci/content/player/1059571.html,"July 7, 1992, Bhilai, Madhya Pradesh ",Chhattisgarh,7.55,152,8,1,0,22,0,13,8,4,68,2,44.73,0
Amit Sinha,http://www.espncricinfo.com/ci/content/player/280926.html,"November 26, 1988, Khutikatia ",Assam,22.79,2949,163,12,7,122,2,55,32,2,1208,9,40.96,0
Ashish Sinha,http://www.espncricinfo.com/ci/content/player/490883.html,"September 16, 1990, Patna ","Bihar,",9.00,94,6,1,0,16,0,4,2,0,36,0,38.29,0
Avishek Sinha,http://www.espncricinfo.com/ci/content/player/340269.html,"October 19, 1984, Siwan, Bihar ",Services,18.00,411,27,1,0,47*,0,11,8,1,180,1,43.79,0
Myendung Singpho,http://www.espncricinfo.com/ci/content/player/1159761.html,"October 23, 1996 ",Arunachal Pradesh,2.00,34,1,0,0,6,0,4,2,0,8,0,23.52,0
Amit Singh,http://www.espncricinfo.com/ci/content/player/26789.html,"June 21, 1981, Bidar, Karnataka ","Gujarat,",10.19,503,30,10,0,41,0,25,20,4,214,2,42.54,0
Aditya Singhania,http://www.espncricinfo.com/ci/content/player/1163676.html,"July 15, 1990, Shillong ",Meghalaya,21.85,245,24,0,1,60*,0,10,8,3,153,1,62.44,0
Aristh Singhvi,http://www.espncricinfo.com/ci/content/player/527370.html,"May 31, 1992, Jodhpur, Rajasthan ","Delhi Daredevils,",18.33,333,12,0,0,43,0,7,4,1,110,1,33.03,0
